the, 127305
and, 62279
a, 61234
of, 55329
to, 52502
is, 40960
it, 38029
i, 36587
in, 35423
this, 31383
that, 28164
s, 23213
was, 19026
movie, 18210
as, 17233
for, 16764
with, 16466
film, 15516
but, 15375
you, 14098
on, 13249
t, 13136
not, 11610
he, 11028
are, 10938
have, 10909
be, 10686
one, 10585
his, 10533
all, 9476
they, 9156
at, 9031
by, 8416
so, 8331
who, 8152
an, 8000
from, 7852
like, 7821
there, 7002
or, 6978
about, 6900
just, 6816
if, 6669
her, 6503
out, 6463
has, 6364
what, 6344
can, 5908
some, 5700
my, 5596
good, 5386
when, 5315
even, 5279
more, 5271
no, 5157
time, 5056
very, 5051
would, 4985
up, 4978
she, 4970
only, 4830
see, 4673
really, 4494
story, 4474
had, 4434
which, 4428
their, 4341
me, 4332
were, 4280
we, 4119
bad, 4058
well, 3897
people, 3786
will, 3738
get, 3664
than, 3649
how, 3634
do, 3543
because, 3535
don, 3525
great, 3518
first, 3503
into, 3466
been, 3444
other, 3429
most, 3407
made, 3398
much, 3364
also, 3345
then, 3236
movies, 3219
him, 3209
make, 3127
its, 3107
could, 3101
them, 3069
any, 3045
way, 3032
think, 2981
seen, 2971
after, 2951
watch, 2933
ever, 2908
acting, 2722
too, 2716
films, 2714
characters, 2712
never, 2649
life, 2585
best, 2566
plot, 2547
show, 2546
two, 2539
love, 2538
many, 2510
did, 2479
character, 2465
your, 2450
being, 2442
know, 2432
where, 2396
over, 2379
off, 2250
man, 2222
ve, 2221
say, 2164
little, 2142
better, 2121
here, 2100
should, 2099
still, 2092
end, 2085
m, 2079
why, 2077
scene, 2069
does, 2049
these, 2045
go, 2030
such, 2024
back, 1993
something, 1950
watching, 1950
through, 1938
scenes, 1875
real, 1836
while, 1817
now, 1815
those, 1812
thing, 1778
years, 1741
actors, 1724
10, 1694
old, 1691
funny, 1689
nothing, 1687
before, 1676
every, 1663
new, 1658
director, 1651
actually, 1648
re, 1644
makes, 1642
didn, 1630
another, 1628
though, 1604
doesn, 1601
again, 1598
look, 1597
same, 1579
work, 1578
going, 1571
world, 1542
want, 1528
find, 1517
us, 1514
few, 1465
got, 1456
lot, 1431
down, 1426
part, 1424
worst, 1406
cast, 1402
around, 1400
saw, 1367
take, 1362
things, 1360
thought, 1326
give, 1326
series, 1319
fact, 1314
young, 1313
may, 1301
must, 1294
come, 1291
without, 1281
long, 1277
action, 1274
horror, 1272
right, 1271
original, 1262
own, 1258
quite, 1250
both, 1239
times, 1239
big, 1234
enough, 1232
script, 1230
point, 1227
always, 1227
between, 1226
however, 1222
am, 1214
d, 1209
music, 1206
least, 1204
seems, 1203
whole, 1199
making, 1198
comedy, 1198
ll, 1193
minutes, 1186
done, 1180
almost, 1174
guy, 1172
anything, 1167
family, 1167
2, 1161
since, 1147
gets, 1143
feel, 1128
anyone, 1108
far, 1108
might, 1096
girl, 1096
last, 1094
probably, 1093
pretty, 1091
away, 1088
believe, 1082
yet, 1080
performance, 1075
isn, 1074
day, 1062
role, 1051
money, 1049
bit, 1041
our, 1035
hard, 1032
kind, 1031
interesting, 1026
tv, 1023
sure, 1011
woman, 1009
year, 985
each, 984
1, 976
put, 967
comes, 966
screen, 961
watched, 960
fun, 958
everything, 955
course, 954
someone, 951
sense, 949
dvd, 946
true, 945
trying, 942
especially, 938
book, 935
looks, 933
let, 922
actor, 921
found, 920
goes, 918
shows, 918
looking, 913
although, 911
maybe, 904
everyone, 899
different, 897
set, 892
having, 890
place, 888
rather, 887
awful, 884
reason, 869
shot, 868
played, 868
said, 868
special, 866
once, 863
beautiful, 863
version, 860
effects, 856
main, 855
american, 852
audience, 852
takes, 851
three, 847
wasn, 845
instead, 842
high, 839
john, 837
job, 826
together, 822
seeing, 822
terrible, 814
plays, 813
play, 813
mind, 812
house, 812
ending, 810
night, 810
idea, 802
during, 801
else, 801
star, 801
left, 793
worth, 788
black, 787
truly, 786
video, 783
read, 781
later, 780
father, 779
seem, 775
himself, 774
simply, 774
hollywood, 772
excellent, 768
need, 764
completely, 756
camera, 753
friends, 751
war, 747
boring, 744
stupid, 743
second, 742
waste, 738
line, 732
poor, 728
wife, 727
fan, 725
less, 725
used, 720
death, 717
half, 715
wrong, 713
either, 710
short, 708
women, 707
use, 707
kids, 705
full, 703
classic, 701
performances, 701
home, 701
help, 700
budget, 700
tell, 693
piece, 690
try, 689
top, 687
low, 686
recommend, 684
wonderful, 684
person, 678
won, 678
enjoy, 677
next, 676
school, 675
understand, 674
absolutely, 673
perfect, 671
start, 670
production, 669
men, 669
face, 666
couldn, 665
dead, 658
mean, 654
until, 653
entire, 653
sex, 652
rest, 649
given, 646
nice, 641
came, 640
oh, 640
written, 638
perhaps, 638
episode, 636
cinema, 634
remember, 632
name, 628
worse, 626
3, 620
dialogue, 620
itself, 616
head, 614
getting, 614
human, 612
supposed, 612
definitely, 609
keep, 609
boy, 607
along, 606
lines, 606
stars, 605
small, 604
friend, 604
live, 603
lost, 603
others, 601
called, 600
felt, 598
often, 598
yes, 593
horrible, 590
mr, 590
gives, 588
case, 588
went, 588
hope, 587
amazing, 585
loved, 581
children, 581
playing, 578
laugh, 578
doing, 574
mother, 571
beginning, 568
wanted, 565
heart, 564
several, 563
white, 559
5, 555
guys, 554
liked, 552
totally, 552
couple, 551
style, 550
moments, 549
become, 549
finally, 547
certainly, 543
game, 543
title, 542
god, 541
against, 540
throughout, 539
example, 539
based, 539
michael, 537
turn, 536
history, 536
care, 535
early, 533
writing, 532
drama, 531
lives, 531
picture, 528
crap, 528
quality, 527
already, 524
direction, 523
under, 521
child, 516
killer, 516
favorite, 515
dark, 515
behind, 514
close, 512
son, 512
sound, 511
art, 511
entertaining, 510
humor, 508
eyes, 504
days, 503
car, 503
gave, 502
able, 501
past, 497
sort, 497
highly, 495
viewer, 494
fans, 494
thinking, 492
evil, 489
seemed, 488
myself, 486
brilliant, 485
today, 485
fine, 484
please, 482
overall, 481
b, 481
act, 480
self, 476
cannot, 475
lead, 475
run, 473
guess, 472
girls, 472
wants, 472
flick, 470
problem, 470
becomes, 469
enjoyed, 468
final, 467
took, 465
kid, 464
writer, 463
works, 461
matter, 459
stories, 458
hour, 457
heard, 457
themselves, 456
city, 454
blood, 454
etc, 454
yourself, 454
directed, 452
hand, 449
stuff, 449
violence, 447
expect, 447
documentary, 446
late, 446
alone, 445
obviously, 445
town, 442
fight, 440
says, 438
genre, 438
feeling, 437
james, 436
age, 435
except, 434
wonder, 434
experience, 434
living, 430
turns, 430
stop, 427
looked, 427
wish, 427
voice, 426
extremely, 426
kill, 426
actress, 426
unfortunately, 425
soon, 424
slow, 424
wouldn, 424
sometimes, 423
single, 422
complete, 421
possible, 421
happen, 420
side, 420
anyway, 420
leave, 420
sad, 419
despite, 418
told, 417
tries, 417
involved, 416
starts, 415
chance, 413
4, 413
moment, 412
word, 411
save, 410
seriously, 410
ago, 409
group, 407
started, 405
happened, 405
daughter, 405
attempt, 404
parts, 402
type, 401
killed, 401
strong, 400
level, 400
cut, 400
jokes, 399
earth, 399
none, 399
ridiculous, 399
hit, 398
known, 397
coming, 396
avoid, 395
brother, 395
obvious, 395
song, 395
theater, 394
knew, 393
hours, 393
usually, 393
released, 392
talent, 392
opinion, 391
hell, 390
reality, 387
score, 387
simple, 387
police, 386
8, 386
five, 385
shown, 385
words, 385
power, 385
change, 384
happens, 382
talking, 381
annoying, 379
murder, 378
rating, 378
cinematography, 378
cool, 377
running, 376
hilarious, 376
easily, 375
call, 374
review, 373
roles, 373
clearly, 372
scary, 372
view, 372
country, 372
middle, 371
serious, 370
number, 368
gore, 367
career, 366
modern, 365
taken, 364
television, 364
beyond, 364
saying, 362
english, 362
shots, 362
ok, 361
lack, 361
non, 361
9, 360
across, 360
fast, 359
future, 359
hero, 358
ends, 358
episodes, 357
ten, 356
interest, 356
happy, 355
knows, 354
including, 354
ones, 353
major, 353
opening, 353
talk, 353
light, 352
due, 351
within, 350
musical, 350
female, 350
turned, 349
british, 349
class, 349
rock, 349
king, 348
buy, 348
order, 348
comic, 346
whose, 346
important, 343
particularly, 343
relationship, 342
room, 342
exactly, 341
mention, 341
needs, 341
hate, 340
tells, 340
apparently, 340
local, 339
taking, 339
cheap, 338
oscar, 338
huge, 338
david, 338
release, 337
comment, 337
novel, 336
greatest, 336
giving, 335
tried, 334
basically, 334
disappointed, 333
sequence, 333
bring, 332
lame, 332
rent, 332
nearly, 331
whether, 331
attention, 331
jack, 330
storyline, 330
miss, 329
body, 329
sister, 328
disney, 328
sorry, 327
usual, 327
entertainment, 327
husband, 326
upon, 326
straight, 326
imagine, 325
events, 324
add, 324
viewers, 323
theme, 323
decent, 323
message, 323
actual, 321
write, 321
stand, 320
o, 320
moving, 319
season, 316
dialog, 315
surprised, 315
aren, 314
somehow, 312
soundtrack, 312
tale, 311
finds, 311
strange, 311
bunch, 310
haven, 310
die, 310
four, 310
zombie, 309
songs, 309
poorly, 309
fantastic, 309
paul, 308
imdb, 308
appears, 307
forget, 307
stay, 306
follow, 306
reviews, 305
tom, 305
comments, 304
york, 303
mostly, 303
romantic, 302
realistic, 302
easy, 302
20, 302
similar, 301
mystery, 301
possibly, 300
viewing, 300
animation, 299
eye, 299
clear, 299
crime, 299
editing, 298
gay, 298
hear, 297
sit, 297
brought, 297
somewhat, 297
silly, 297
fall, 297
near, 296
minute, 296
showing, 296
thriller, 296
robert, 296
sets, 295
lady, 294
certain, 294
red, 293
predictable, 293
named, 293
america, 293
joke, 291
sequel, 291
form, 291
problems, 290
doubt, 290
surprise, 290
mark, 290
effort, 290
parents, 289
filmed, 289
working, 288
enjoyable, 288
indeed, 287
whatever, 287
supporting, 286
ways, 286
learn, 285
french, 285
third, 285
subject, 284
using, 284
among, 284
badly, 283
joe, 283
points, 283
kept, 282
lee, 282
dull, 282
material, 282
sexual, 282
famous, 281
particular, 279
box, 279
means, 278
personal, 278
general, 278
gone, 278
list, 278
ask, 278
period, 277
wait, 276
perfectly, 276
footage, 276
decided, 275
dog, 275
space, 275
directors, 274
check, 274
team, 273
figure, 273
e, 272
total, 272
acted, 271
masterpiece, 271
lots, 271
realize, 271
above, 270
street, 270
became, 270
shame, 269
reading, 269
directing, 269
move, 269
free, 269
superb, 268
christmas, 267
peter, 267
emotional, 267
richard, 267
question, 267
sequences, 266
falls, 266
george, 265
incredibly, 265
leads, 265
elements, 265
trash, 265
credits, 264
dance, 264
deep, 264
deal, 264
forward, 263
fantasy, 263
herself, 263
nature, 263
baby, 262
believable, 262
note, 262
portrayed, 261
screenplay, 260
weak, 260
powerful, 260
begin, 260
dream, 260
killing, 260
hands, 260
open, 259
eventually, 259
male, 259
telling, 257
incredible, 256
nor, 256
begins, 256
garbage, 255
okay, 255
atmosphere, 255
romance, 255
worked, 254
mess, 253
leaves, 253
jane, 253
unless, 253
hot, 252
pay, 251
feature, 251
writers, 250
cop, 250
meet, 249
de, 248
truth, 248
rate, 248
stage, 248
forced, 246
typical, 246
society, 246
effect, 245
beauty, 245
premise, 245
zombies, 244
feels, 244
unique, 244
japanese, 244
cover, 243
expected, 242
monster, 242
laughing, 241
spent, 241
meant, 240
girlfriend, 240
plus, 240
copy, 238
pathetic, 238
whom, 238
pure, 238
create, 238
30, 238
various, 237
crazy, 237
plain, 236
talented, 236
older, 236
outside, 236
interested, 236
memorable, 235
development, 235
admit, 235
suspense, 234
creepy, 234
keeps, 234
wasted, 234
unlike, 233
7, 233
fighting, 233
fire, 233
needed, 232
bought, 232
wrote, 232
filmmakers, 232
deserves, 231
situation, 231
background, 230
reasons, 230
cheesy, 230
air, 230
laughs, 230
80, 229
break, 229
missed, 229
science, 229
hardly, 229
apart, 229
ben, 229
public, 228
positive, 228
waiting, 228
difficult, 228
awesome, 228
era, 227
villain, 227
political, 226
towards, 225
business, 225
return, 224
earlier, 223
previous, 223
casting, 223
sick, 222
remake, 222
fails, 222
social, 222
further, 222
otherwise, 221
boys, 221
filled, 221
brings, 221
ended, 221
plenty, 221
sadly, 220
cause, 220
dramatic, 220
harry, 220
90, 220
agree, 220
inside, 219
visual, 219
following, 219
cartoon, 219
spirit, 218
weird, 218
impossible, 218
compared, 218
pointless, 218
store, 217
created, 217
quickly, 217
sounds, 217
intelligent, 217
nudity, 216
dumb, 216
thank, 216
manages, 215
post, 215
sci, 215
twist, 215
members, 214
office, 214
married, 214
6, 214
present, 214
c, 214
walk, 214
fi, 213
appear, 213
missing, 213
meets, 213
co, 212
setting, 212
expecting, 211
value, 209
recently, 209
planet, 208
rich, 208
sweet, 208
result, 208
attempts, 208
produced, 208
features, 208
spoilers, 207
average, 207
popular, 207
odd, 207
dr, 206
party, 206
brothers, 206
success, 205
front, 205
leading, 205
died, 205
gun, 205
college, 205
state, 205
water, 205
50, 204
bill, 204
caught, 204
festival, 204
cold, 203
appreciate, 203
violent, 203
van, 203
clever, 202
speak, 202
tony, 202
singing, 202
doctor, 202
italian, 202
kills, 201
common, 201
respect, 201
dad, 201
dancing, 201
100, 201
cat, 200
control, 200
u, 200
language, 200
rated, 200
computer, 200
secret, 199
uses, 199
bored, 199
fear, 199
makers, 198
cry, 198
sees, 198
century, 197
glad, 197
images, 197
super, 197
project, 196
15, 196
immediately, 195
western, 195
utterly, 194
culture, 194
company, 194
mentioned, 194
entirely, 194
ideas, 194
hold, 193
cute, 193
credit, 193
william, 193
large, 192
consider, 192
justice, 192
failed, 192
flat, 192
choice, 191
beautifully, 191
south, 191
force, 190
literally, 190
recommended, 190
yeah, 190
portrayal, 190
smith, 190
familiar, 190
spend, 190
soul, 190
fiction, 189
la, 189
excuse, 189
porn, 189
crew, 189
somewhere, 189
cult, 188
rare, 188
fake, 188
week, 188
disturbing, 187
nobody, 187
pictures, 187
concept, 187
biggest, 186
f, 186
complex, 186
trip, 186
cinematic, 186
aside, 186
revenge, 185
sexy, 185
pace, 185
charming, 185
trouble, 185
motion, 185
genius, 185
considered, 185
producers, 185
considering, 185
recent, 184
meaning, 184
honest, 184
bottom, 184
band, 184
knowing, 184
sitting, 184
likes, 184
animated, 183
runs, 183
changed, 183
shooting, 183
honestly, 183
hair, 182
accent, 182
exciting, 182
win, 182
subtle, 182
amount, 182
zero, 181
wow, 181
basic, 181
escape, 181
touch, 181
tension, 180
showed, 180
brain, 180
added, 180
weren, 180
island, 180
purpose, 180
barely, 180
